c,id,la,lo,m,n,r
3,503,-33.342966,115.633228,Bunbury,bunbury,27
42,1729,55.132338,-7.462667,Buncrana,buncrana,29
3,1637,-24.86835,152.330781,Bundaberg,bundaberg,4
3,571,-27.376924,152.94854899999999,Bunyaville,bunyaville,4
97,392,51.484536,-0.081024,Burgess,burgess,10
3,1490,-35.292148,149.08858500000002,Burley Griffin,burleygriffin,19
97,415,53.407152,-2.2091849999999997,Burnage,burnage,8
97,1240,51.226679,-2.990243,Burnham and Highbridge,burnhamandhighbridge,16
97,192,51.627409,0.810923,Burnham-on-Crouch,burnhamoncrouch,11
97,382,53.77834,-2.221555,Burnley,burnley,8
97,245,52.224887,0.730183,Bury St Edmunds,burystedmunds,11
42,1630,53.298951,-6.296455,Bushy Dublin,bushydublin,29
97,1,51.410992,-0.335791,Bushy Park,bushy,10
79,1299,55.538603,37.518704,Butovo,butovo,49
74,1104,53.13085400000001,17.954564,Bydgoszcz,bydgoszcz,23
42,1193,53.26136999999999,-6.158811,Cabinteely,cabinteely,29
3,544,-16.904574,145.763211,Cairns,cairns,4
3,685,-27.620775,153.039287,Calamvale,calamvale,4
3,1244,-32.894393,151.702098,Callaghan,callaghan,5
3,1644,-32.126604,115.876176,Calleya,calleya,27
97,128,52.236675,0.161906,Cambridge,cambridge,11
65,1589,-37.890281,175.435891,Cambridge NZ,cambridgenz,25
3,751,-34.018301,150.814819,Campbelltown,campbelltown,5
97,160,56.483681000000004,-3.030896,Camperdown,camperdown,7
85,921,-28.682918,28.976784000000002,Cannibals Cave,cannibalscave,39
3,489,-32.020912,115.92266000000001,Canning River,canningriver,27
97,78,52.73744,-1.99542,Cannock Chase,cannockchase,14
97,189,52.452637,-1.8999700000000002,Cannon Hill,cannon-hill,14
97,581,51.612291,-0.296184,Canons Park,canonspark,10
97,132,51.299468,1.057002,Canterbury,canterbury,17
3,849,-27.521404999999998,153.186858,Capalaba,capalaba,4
97,9,51.49736,-3.207107,Cardiff,cardiff,12
3,823,-31.85155,115.78294299999999,Carine Glades,carineglades,27
3,1738,-34.754627,138.677757,Carisbrooke,carisbrooke,30
97,155,54.886025,-2.9634549999999997,Carlisle,carlisle,8
42,1742,52.838536,-6.934139999999999,Carlow Town,carlowtown,29
97,742,54.719992000000005,-5.805285,Carrickfergus,carrickfergus,15
97,1152,51.657677,-0.406335,Cassiobury,cassiobury,11
42,556,51.904697999999996,-8.962054,Castle Demense,castledemense,29
97,1765,51.87167,0.164165,Castle Park,castlepark,11
42,781,53.850327,-9.309314,Castlebar,castlebar,29
42,1251,54.1219,-6.728947,Castleblayney,castleblayney,29
42,1390,51.551575,-9.170294,Castlehaven,castlehaven,29
3,1246,-37.050794,144.217649,Castlemaine,castlemaine,6
42,1662,53.767763,-8.480996000000001,Castlerea,castlerea,29
42,1338,53.348946,-6.528707,Castletown,castletown,29
97,646,54.262147,-5.95386,Castlewellan,castlewellan,15
97,202,54.385534,-1.6465029999999998,Catterick,catterick,18
97,655,52.656696,1.295507,Catton,catton,11
3,836,-27.07755,152.97318700000002,Central Lakes,centrallakes,4
85,1067,-33.888687,18.512412,Century City,centurycity,48
97,1457,53.554066000000006,-2.1585520000000002,Chadderton Hall,chaddertonhall,8
3,1340,-32.106314000000005,115.99953500000001,Champion Lakes,championlakes,27
31,1394,46.882182,5.267379,Château de Pierre de Bresse,chateaudepierredebresse,56
97,879,53.379026,-2.210652,Cheadle Hulme,cheadlehulme,8
97,441,51.732577,0.464945,Chelmsford Central,chelmsfordcentral,11
3,1518,-38.049246999999994,145.12656,Chelsea Bicentennial,chelseabicentennial,6
97,449,51.911753999999995,-2.07824,Cheltenham,cheltenham,16
79,1257,55.155104,61.360206999999996,Chelyabinsk,chelyabinsk,58
3,942,-27.37896,153.03350700000001,Chermside,chermside,4
97,242,53.207795999999995,-2.902368,Chester,chester,8
97,955,50.846182,-0.7775350000000001,Chichester,chichester,17
97,348,51.460469,-2.1131189999999997,Chippenham,chippenham,16
97,522,51.544366,-2.397165,Chipping Sodbury,chippingsodbury,16
3,1514,-35.135628000000004,138.46916000000002,Christies Beach,christiesbeach,30
74,1105,50.129465,19.358722,Chrzanow,chrzanow,23
3,1400,-38.312871,146.422465,Churchill,churchill,6
74,838,49.741202,18.629197,Cieszyn,cieszyn,23
97,386,54.45109300000001,-6.3860019999999995,Citypark,citypark,15
